epci,aspect,interet,freq
200072676,Qualité des matériaux,intérêt personnel,50
200072676,Qualité des matériaux,évolution de la demande client,25
200072676,Qualité des matériaux,contrainte règlementaire,25
200072676,Energies renouvelables,intérêt personnel,100
200072676,Déchets,intérêt personnel,100
200072676,Assainissement,intérêt personnel,100
200072676,Accessibilité,intérêt personnel,100
200072718,Qualité des matériaux,intérêt personnel,42.8571428571429
200072718,Qualité des matériaux,évolution de la demande client,42.8571428571429
200072718,Qualité des matériaux,contrainte règlementaire,14.2857142857143
200072718,Energies renouvelables,intérêt personnel,25
200072718,Energies renouvelables,évolution de la demande client,75
200072718,Economies d'énergie,intérêt personnel,25
200072718,Economies d'énergie,évolution de la demande client,58.3333333333333
200072718,Economies d'énergie,contrainte règlementaire,16.6666666666667
200072718,Eco-construction,évolution de la demande client,66.6666666666667
200072718,Eco-construction,contrainte règlementaire,33.3333333333333
200072718,Déchets,contrainte règlementaire,100
200072718,Assainissement,contrainte règlementaire,100
200072718,Accessibilité,contrainte règlementaire,100
247200447,Qualité des matériaux,intérêt personnel,71.4285714285714
247200447,Qualité des matériaux,évolution de la demande client,14.2857142857143
247200447,Qualité des matériaux,contrainte règlementaire,14.2857142857143
247200447,Qualité de l'air,intérêt personnel,100
247200447,Energies renouvelables,intérêt personnel,100
247200447,Economies d'énergie,intérêt personnel,30.7692307692308
247200447,Economies d'énergie,évolution de la demande client,46.1538461538462
247200447,Economies d'énergie,contrainte règlementaire,23.0769230769231
247200447,Déchets,intérêt personnel,100
247200447,Assainissement,contrainte règlementaire,100
247200447,Accessibilité,contrainte règlementaire,100
247200629,Qualité des matériaux,intérêt personnel,40
247200629,Qualité des matériaux,évolution de la demande client,40
247200629,Qualité des matériaux,contrainte règlementaire,20
247200629,Qualité de l'eau,intérêt personnel,40
247200629,Qualité de l'eau,évolution de la demande client,20
247200629,Qualité de l'eau,contrainte règlementaire,40
247200629,Qualité de l'air,intérêt personnel,50
247200629,Qualité de l'air,évolution de la demande client,16.6666666666667
247200629,Qualité de l'air,contrainte règlementaire,33.3333333333333
247200629,Energies renouvelables,intérêt personnel,41.6666666666667
247200629,Energies renouvelables,évolution de la demande client,33.3333333333333
247200629,Energies renouvelables,contrainte règlementaire,25
247200629,Economies d'énergie,intérêt personnel,27.2727272727273
247200629,Economies d'énergie,évolution de la demande client,40.9090909090909
247200629,Economies d'énergie,contrainte règlementaire,31.8181818181818
247200629,Eco-construction,évolution de la demande client,100
247200629,Déchets,intérêt personnel,100
247200629,Accessibilité,intérêt personnel,30.7692307692308
247200629,Accessibilité,évolution de la demande client,23.0769230769231
247200629,Accessibilité,contrainte règlementaire,46.1538461538462
247200686,Qualité des matériaux,intérêt personnel,52.9411764705882
247200686,Qualité des matériaux,évolution de la demande client,29.4117647058824
247200686,Qualité des matériaux,contrainte règlementaire,17.6470588235294
247200686,Qualité de l'eau,intérêt personnel,57.1428571428571
247200686,Qualité de l'eau,évolution de la demande client,28.5714285714286
247200686,Qualité de l'eau,contrainte règlementaire,14.2857142857143
247200686,Qualité de l'air,intérêt personnel,66.6666666666667
247200686,Qualité de l'air,évolution de la demande client,33.3333333333333
247200686,Energies renouvelables,intérêt personnel,36.3636363636364
247200686,Energies renouvelables,évolution de la demande client,45.4545454545455
247200686,Energies renouvelables,contrainte règlementaire,18.1818181818182
247200686,Economies d'énergie,intérêt personnel,44.4444444444444
247200686,Economies d'énergie,évolution de la demande client,44.4444444444444
247200686,Economies d'énergie,contrainte règlementaire,11.1111111111111
247200686,Eco-construction,intérêt personnel,37.5
247200686,Eco-construction,évolution de la demande client,50
247200686,Eco-construction,contrainte règlementaire,12.5
247200686,Déchets,intérêt personnel,50
247200686,Déchets,contrainte règlementaire,50
247200686,Assainissement,intérêt personnel,100
247200686,Accessibilité,intérêt personnel,50
247200686,Accessibilité,évolution de la demande client,50
245300389,Qualité des matériaux,intérêt personnel,44.4444444444444
245300389,Qualité des matériaux,évolution de la demande client,50
245300389,Qualité des matériaux,contrainte règlementaire,5.55555555555556
245300389,Qualité de l'eau,intérêt personnel,50
245300389,Qualité de l'eau,évolution de la demande client,25
245300389,Qualité de l'eau,contrainte règlementaire,25
245300389,Qualité de l'air,intérêt personnel,100
245300389,Energies renouvelables,intérêt personnel,42.8571428571429
245300389,Energies renouvelables,évolution de la demande client,42.8571428571429
245300389,Energies renouvelables,contrainte règlementaire,14.2857142857143
245300389,Economies d'énergie,intérêt personnel,44.4444444444444
245300389,Economies d'énergie,évolution de la demande client,38.8888888888889
245300389,Economies d'énergie,contrainte règlementaire,16.6666666666667
245300389,Eco-construction,intérêt personnel,66.6666666666667
245300389,Eco-construction,contrainte règlementaire,33.3333333333333
245300389,Déchets,intérêt personnel,54.5454545454545
245300389,Déchets,évolution de la demande client,9.09090909090909
245300389,Déchets,contrainte règlementaire,36.3636363636364
245300389,Accessibilité,intérêt personnel,37.5
245300389,Accessibilité,évolution de la demande client,25
245300389,Accessibilité,contrainte règlementaire,37.5
200055887,Qualité des matériaux,intérêt personnel,52.9411764705882
200055887,Qualité des matériaux,évolution de la demande client,35.2941176470588
200055887,Qualité des matériaux,contrainte règlementaire,11.7647058823529
200055887,Qualité de l'eau,intérêt personnel,100
200055887,Qualité de l'air,intérêt personnel,100
200055887,Energies renouvelables,intérêt personnel,50
200055887,Energies renouvelables,évolution de la demande client,50
200055887,Economies d'énergie,intérêt personnel,33.3333333333333
200055887,Economies d'énergie,évolution de la demande client,50
200055887,Economies d'énergie,contrainte règlementaire,16.6666666666667
200055887,Eco-construction,intérêt personnel,20
200055887,Eco-construction,évolution de la demande client,60
200055887,Eco-construction,contrainte règlementaire,20
200055887,Déchets,intérêt personnel,33.3333333333333
200055887,Déchets,contrainte règlementaire,66.6666666666667
200055887,Accessibilité,intérêt personnel,33.3333333333333
200055887,Accessibilité,évolution de la demande client,50
200055887,Accessibilité,contrainte règlementaire,16.6666666666667
245300330,Qualité des matériaux,intérêt personnel,37.5
245300330,Qualité des matériaux,évolution de la demande client,50
245300330,Qualité des matériaux,contrainte règlementaire,12.5
245300330,Qualité de l'eau,évolution de la demande client,100
245300330,Qualité de l'air,évolution de la demande client,100
245300330,Energies renouvelables,intérêt personnel,20
245300330,Energies renouvelables,évolution de la demande client,40
245300330,Energies renouvelables,contrainte règlementaire,40
245300330,Economies d'énergie,intérêt personnel,28.5714285714286
245300330,Economies d'énergie,évolution de la demande client,57.1428571428571
245300330,Economies d'énergie,contrainte règlementaire,14.2857142857143
245300330,Eco-construction,évolution de la demande client,100
245300330,Déchets,intérêt personnel,33.3333333333333
245300330,Déchets,évolution de la demande client,33.3333333333333
245300330,Déchets,contrainte règlementaire,33.3333333333333
245300330,Assainissement,évolution de la demande client,50
245300330,Assainissement,contrainte règlementaire,50
245300330,Accessibilité,évolution de la demande client,66.6666666666667
245300330,Accessibilité,contrainte règlementaire,33.3333333333333
245300223,Qualité des matériaux,intérêt personnel,47.3684210526316
245300223,Qualité des matériaux,évolution de la demande client,31.5789473684211
245300223,Qualité des matériaux,contrainte règlementaire,21.0526315789474
245300223,Qualité de l'eau,intérêt personnel,66.6666666666667
245300223,Qualité de l'eau,évolution de la demande client,33.3333333333333
245300223,Qualité de l'air,intérêt personnel,50
245300223,Qualité de l'air,contrainte règlementaire,50
245300223,Energies renouvelables,intérêt personnel,54.5454545454545
245300223,Energies renouvelables,évolution de la demande client,27.2727272727273
245300223,Energies renouvelables,contrainte règlementaire,18.1818181818182
245300223,Economies d'énergie,intérêt personnel,31.8181818181818
245300223,Economies d'énergie,évolution de la demande client,50
245300223,Economies d'énergie,contrainte règlementaire,18.1818181818182
245300223,Eco-construction,intérêt personnel,25
245300223,Eco-construction,contrainte règlementaire,75
245300223,Déchets,intérêt personnel,40
245300223,Déchets,contrainte règlementaire,60
245300223,Accessibilité,intérêt personnel,28.5714285714286
245300223,Accessibilité,évolution de la demande client,28.5714285714286
245300223,Accessibilité,contrainte règlementaire,42.8571428571429
200072734,Qualité des matériaux,intérêt personnel,57.1428571428571
200072734,Qualité des matériaux,évolution de la demande client,28.5714285714286
200072734,Qualité des matériaux,contrainte règlementaire,14.2857142857143
200072734,Qualité de l'eau,intérêt personnel,50
200072734,Qualité de l'eau,évolution de la demande client,50
200072734,Qualité de l'air,intérêt personnel,66.6666666666667
200072734,Qualité de l'air,évolution de la demande client,33.3333333333333
200072734,Energies renouvelables,intérêt personnel,100
200072734,Economies d'énergie,intérêt personnel,28.5714285714286
200072734,Economies d'énergie,évolution de la demande client,57.1428571428571
200072734,Economies d'énergie,contrainte règlementaire,14.2857142857143
200072734,Eco-construction,intérêt personnel,25
200072734,Eco-construction,évolution de la demande client,75
200072734,Déchets,intérêt personnel,60
200072734,Déchets,évolution de la demande client,20
200072734,Déchets,contrainte règlementaire,20
200072734,Assainissement,intérêt personnel,40
200072734,Assainissement,évolution de la demande client,40
200072734,Assainissement,contrainte règlementaire,20
200072734,Accessibilité,évolution de la demande client,66.6666666666667
200072734,Accessibilité,contrainte règlementaire,33.3333333333333
244400586,Qualité des matériaux,intérêt personnel,42.8571428571429
244400586,Qualité des matériaux,évolution de la demande client,28.5714285714286
244400586,Qualité des matériaux,contrainte règlementaire,28.5714285714286
244400586,Qualité de l'eau,intérêt personnel,100
244400586,Qualité de l'air,intérêt personnel,100
244400586,Energies renouvelables,intérêt personnel,28.5714285714286
244400586,Energies renouvelables,évolution de la demande client,28.5714285714286
244400586,Energies renouvelables,contrainte règlementaire,42.8571428571429
244400586,Economies d'énergie,intérêt personnel,50
244400586,Economies d'énergie,évolution de la demande client,50
244400586,Eco-construction,intérêt personnel,40
244400586,Eco-construction,évolution de la demande client,40
244400586,Eco-construction,contrainte règlementaire,20
244400586,Déchets,intérêt personnel,50
244400586,Déchets,contrainte règlementaire,50
244400586,Assainissement,intérêt personnel,66.6666666666667
244400586,Assainissement,contrainte règlementaire,33.3333333333333
244400586,Accessibilité,intérêt personnel,33.3333333333333
244400586,Accessibilité,évolution de la demande client,33.3333333333333
244400586,Accessibilité,contrainte règlementaire,33.3333333333333
244400610,Qualité des matériaux,intérêt personnel,35
244400610,Qualité des matériaux,évolution de la demande client,50
244400610,Qualité des matériaux,contrainte règlementaire,15
244400610,Qualité de l'eau,intérêt personnel,75
244400610,Qualité de l'eau,contrainte règlementaire,25
244400610,Qualité de l'air,intérêt personnel,71.4285714285714
244400610,Qualité de l'air,évolution de la demande client,14.2857142857143
244400610,Qualité de l'air,contrainte règlementaire,14.2857142857143
244400610,Energies renouvelables,intérêt personnel,42.8571428571429
244400610,Energies renouvelables,évolution de la demande client,42.8571428571429
244400610,Energies renouvelables,contrainte règlementaire,14.2857142857143
244400610,Economies d'énergie,intérêt personnel,34.4827586206897
244400610,Economies d'énergie,évolution de la demande client,44.8275862068966
244400610,Economies d'énergie,contrainte règlementaire,20.6896551724138
244400610,Eco-construction,intérêt personnel,44.4444444444444
244400610,Eco-construction,évolution de la demande client,44.4444444444444
244400610,Eco-construction,contrainte règlementaire,11.1111111111111
244400610,Déchets,intérêt personnel,57.1428571428571
244400610,Déchets,évolution de la demande client,7.14285714285714
244400610,Déchets,contrainte règlementaire,35.7142857142857
244400610,Assainissement,intérêt personnel,50
244400610,Assainissement,contrainte règlementaire,50
244400610,Accessibilité,intérêt personnel,28.5714285714286
244400610,Accessibilité,évolution de la demande client,28.5714285714286
244400610,Accessibilité,contrainte règlementaire,42.8571428571429
244400503,Qualité des matériaux,intérêt personnel,35.7142857142857
244400503,Qualité des matériaux,évolution de la demande client,42.8571428571429
244400503,Qualité des matériaux,contrainte règlementaire,21.4285714285714
244400503,Qualité de l'eau,intérêt personnel,66.6666666666667
244400503,Qualité de l'eau,évolution de la demande client,33.3333333333333
244400503,Qualité de l'air,intérêt personnel,75
244400503,Qualité de l'air,évolution de la demande client,25
244400503,Energies renouvelables,intérêt personnel,43.75
244400503,Energies renouvelables,évolution de la demande client,37.5
244400503,Energies renouvelables,contrainte règlementaire,18.75
244400503,Economies d'énergie,intérêt personnel,37.5
244400503,Economies d'énergie,évolution de la demande client,37.5
244400503,Economies d'énergie,contrainte règlementaire,25
244400503,Eco-construction,intérêt personnel,50
244400503,Eco-construction,évolution de la demande client,50
244400503,Déchets,intérêt personnel,60
244400503,Déchets,contrainte règlementaire,40
244400503,Assainissement,contrainte règlementaire,100
244400503,Accessibilité,évolution de la demande client,50
244400503,Accessibilité,contrainte règlementaire,50
200067346,Qualité des matériaux,intérêt personnel,41.1764705882353
200067346,Qualité des matériaux,évolution de la demande client,47.0588235294118
200067346,Qualité des matériaux,contrainte règlementaire,11.7647058823529
200067346,Qualité de l'air,intérêt personnel,100
200067346,Energies renouvelables,intérêt personnel,66.6666666666667
200067346,Energies renouvelables,évolution de la demande client,33.3333333333333
200067346,Economies d'énergie,intérêt personnel,52.6315789473684
200067346,Economies d'énergie,évolution de la demande client,36.8421052631579
200067346,Economies d'énergie,contrainte règlementaire,10.5263157894737
200067346,Eco-construction,intérêt personnel,50
200067346,Eco-construction,évolution de la demande client,25
200067346,Eco-construction,contrainte règlementaire,25
200067346,Déchets,intérêt personnel,33.3333333333333
200067346,Déchets,contrainte règlementaire,66.6666666666667
200067346,Accessibilité,intérêt personnel,50
200067346,Accessibilité,évolution de la demande client,25
200067346,Accessibilité,contrainte règlementaire,25
200067866,Qualité des matériaux,intérêt personnel,50
200067866,Qualité des matériaux,évolution de la demande client,35.7142857142857
200067866,Qualité des matériaux,contrainte règlementaire,14.2857142857143
200067866,Qualité de l'eau,intérêt personnel,100
200067866,Qualité de l'air,évolution de la demande client,100
200067866,Energies renouvelables,évolution de la demande client,50
200067866,Energies renouvelables,contrainte règlementaire,50
200067866,Economies d'énergie,intérêt personnel,12.5
200067866,Economies d'énergie,évolution de la demande client,37.5
200067866,Economies d'énergie,contrainte règlementaire,50
200067866,Eco-construction,intérêt personnel,50
200067866,Eco-construction,contrainte règlementaire,50
200067866,Déchets,intérêt personnel,75
200067866,Déchets,contrainte règlementaire,25
200067866,Assainissement,intérêt personnel,100
200000438,Qualité des matériaux,intérêt personnel,50
200000438,Qualité des matériaux,évolution de la demande client,50
200000438,Energies renouvelables,intérêt personnel,75
200000438,Energies renouvelables,évolution de la demande client,25
200000438,Economies d'énergie,intérêt personnel,44.4444444444444
200000438,Economies d'énergie,évolution de la demande client,33.3333333333333
200000438,Economies d'énergie,contrainte règlementaire,22.2222222222222
200000438,Eco-construction,intérêt personnel,40
200000438,Eco-construction,évolution de la demande client,40
200000438,Eco-construction,contrainte règlementaire,20
200000438,Déchets,intérêt personnel,40
200000438,Déchets,évolution de la demande client,20
200000438,Déchets,contrainte règlementaire,40
243500741,Qualité des matériaux,intérêt personnel,37.5
243500741,Qualité des matériaux,évolution de la demande client,25
243500741,Qualité des matériaux,contrainte règlementaire,37.5
243500741,Energies renouvelables,intérêt personnel,66.6666666666667
243500741,Energies renouvelables,évolution de la demande client,33.3333333333333
243500741,Economies d'énergie,intérêt personnel,33.3333333333333
243500741,Economies d'énergie,évolution de la demande client,33.3333333333333
243500741,Economies d'énergie,contrainte règlementaire,33.3333333333333
243500741,Eco-construction,intérêt personnel,50
243500741,Eco-construction,évolution de la demande client,50
243500741,Déchets,intérêt personnel,100
243500741,Accessibilité,contrainte règlementaire,100
244400644,Qualité des matériaux,intérêt personnel,46.6666666666667
244400644,Qualité des matériaux,évolution de la demande client,33.3333333333333
244400644,Qualité des matériaux,contrainte règlementaire,20
244400644,Qualité de l'eau,intérêt personnel,100
244400644,Qualité de l'air,intérêt personnel,80
244400644,Qualité de l'air,évolution de la demande client,20
244400644,Energies renouvelables,intérêt personnel,63.6363636363636
244400644,Energies renouvelables,évolution de la demande client,36.3636363636364
244400644,Economies d'énergie,intérêt personnel,50
244400644,Economies d'énergie,évolution de la demande client,38.8888888888889
244400644,Economies d'énergie,contrainte règlementaire,11.1111111111111
244400644,Eco-construction,intérêt personnel,57.1428571428571
244400644,Eco-construction,évolution de la demande client,28.5714285714286
244400644,Eco-construction,contrainte règlementaire,14.2857142857143
244400644,Déchets,intérêt personnel,54.5454545454545
244400644,Déchets,contrainte règlementaire,45.4545454545455
244400644,Accessibilité,intérêt personnel,66.6666666666667
244400644,Accessibilité,évolution de la demande client,33.3333333333333
244400404,Qualité des matériaux,intérêt personnel,50
244400404,Qualité des matériaux,évolution de la demande client,34.375
244400404,Qualité des matériaux,contrainte règlementaire,15.625
244400404,Qualité de l'eau,intérêt personnel,54.5454545454545
244400404,Qualité de l'eau,évolution de la demande client,27.2727272727273
244400404,Qualité de l'eau,contrainte règlementaire,18.1818181818182
244400404,Qualité de l'air,intérêt personnel,40
244400404,Qualité de l'air,évolution de la demande client,20
244400404,Qualité de l'air,contrainte règlementaire,40
244400404,Energies renouvelables,intérêt personnel,40
244400404,Energies renouvelables,évolution de la demande client,28
244400404,Energies renouvelables,contrainte règlementaire,32
244400404,Economies d'énergie,intérêt personnel,37.5
244400404,Economies d'énergie,évolution de la demande client,37.5
244400404,Economies d'énergie,contrainte règlementaire,25
244400404,Eco-construction,intérêt personnel,50
244400404,Eco-construction,évolution de la demande client,33.3333333333333
244400404,Eco-construction,contrainte règlementaire,16.6666666666667
244400404,Déchets,intérêt personnel,60
244400404,Déchets,évolution de la demande client,8
244400404,Déchets,contrainte règlementaire,32
244400404,Assainissement,intérêt personnel,50
244400404,Assainissement,évolution de la demande client,25
244400404,Assainissement,contrainte règlementaire,25
244400404,Accessibilité,intérêt personnel,35.2941176470588
244400404,Accessibilité,évolution de la demande client,35.2941176470588
244400404,Accessibilité,contrainte règlementaire,29.4117647058824
200072726,Qualité des matériaux,intérêt personnel,75
200072726,Qualité des matériaux,évolution de la demande client,25
200072726,Qualité de l'eau,intérêt personnel,100
200072726,Qualité de l'air,intérêt personnel,66.6666666666667
200072726,Qualité de l'air,contrainte règlementaire,33.3333333333333
200072726,Energies renouvelables,intérêt personnel,28.5714285714286
200072726,Energies renouvelables,évolution de la demande client,42.8571428571429
200072726,Energies renouvelables,contrainte règlementaire,28.5714285714286
200072726,Economies d'énergie,intérêt personnel,40
200072726,Economies d'énergie,évolution de la demande client,40
200072726,Economies d'énergie,contrainte règlementaire,20
200072726,Eco-construction,intérêt personnel,60
200072726,Eco-construction,évolution de la demande client,20
200072726,Eco-construction,contrainte règlementaire,20
200072726,Déchets,intérêt personnel,50
200072726,Déchets,contrainte règlementaire,50
200072726,Accessibilité,intérêt personnel,50
200072726,Accessibilité,contrainte règlementaire,50
244400552,Qualité des matériaux,intérêt personnel,60
244400552,Qualité des matériaux,évolution de la demande client,40
244400552,Energies renouvelables,intérêt personnel,66.6666666666667
244400552,Energies renouvelables,évolution de la demande client,33.3333333333333
244400552,Economies d'énergie,intérêt personnel,30
244400552,Economies d'énergie,évolution de la demande client,60
244400552,Economies d'énergie,contrainte règlementaire,10
244400552,Eco-construction,intérêt personnel,50
244400552,Eco-construction,évolution de la demande client,50
244400552,Déchets,intérêt personnel,50
244400552,Déchets,évolution de la demande client,16.6666666666667
244400552,Déchets,contrainte règlementaire,33.3333333333333
244400552,Accessibilité,intérêt personnel,50
244400552,Accessibilité,évolution de la demande client,50
244900809,Qualité des matériaux,intérêt personnel,41.6666666666667
244900809,Qualité des matériaux,évolution de la demande client,50
244900809,Qualité des matériaux,contrainte règlementaire,8.33333333333333
244900809,Qualité de l'eau,intérêt personnel,66.6666666666667
244900809,Qualité de l'eau,évolution de la demande client,33.3333333333333
244900809,Qualité de l'air,intérêt personnel,40
244900809,Qualité de l'air,évolution de la demande client,40
244900809,Qualité de l'air,contrainte règlementaire,20
244900809,Energies renouvelables,intérêt personnel,37.5
244900809,Energies renouvelables,évolution de la demande client,37.5
244900809,Energies renouvelables,contrainte règlementaire,25
244900809,Economies d'énergie,intérêt personnel,30.7692307692308
244900809,Economies d'énergie,évolution de la demande client,30.7692307692308
244900809,Economies d'énergie,contrainte règlementaire,38.4615384615385
244900809,Eco-construction,évolution de la demande client,50
244900809,Eco-construction,contrainte règlementaire,50
244900809,Déchets,intérêt personnel,42.8571428571429
244900809,Déchets,contrainte règlementaire,57.1428571428571
244900809,Accessibilité,intérêt personnel,21.4285714285714
244900809,Accessibilité,évolution de la demande client,50
244900809,Accessibilité,contrainte règlementaire,28.5714285714286
200071678,Qualité des matériaux,intérêt personnel,28.5714285714286
200071678,Qualité des matériaux,évolution de la demande client,57.1428571428571
200071678,Qualité des matériaux,contrainte règlementaire,14.2857142857143
200071678,Qualité de l'eau,intérêt personnel,100
200071678,Qualité de l'air,intérêt personnel,33.3333333333333
200071678,Qualité de l'air,contrainte règlementaire,66.6666666666667
200071678,Energies renouvelables,intérêt personnel,30
200071678,Energies renouvelables,évolution de la demande client,50
200071678,Energies renouvelables,contrainte règlementaire,20
200071678,Economies d'énergie,intérêt personnel,35
200071678,Economies d'énergie,évolution de la demande client,50
200071678,Economies d'énergie,contrainte règlementaire,15
200071678,Eco-construction,intérêt personnel,22.2222222222222
200071678,Eco-construction,évolution de la demande client,44.4444444444444
200071678,Eco-construction,contrainte règlementaire,33.3333333333333
200071678,Déchets,intérêt personnel,33.3333333333333
200071678,Déchets,évolution de la demande client,22.2222222222222
200071678,Déchets,contrainte règlementaire,44.4444444444444
200071678,Accessibilité,intérêt personnel,20
200071678,Accessibilité,évolution de la demande client,60
200071678,Accessibilité,contrainte règlementaire,20
244900015,Qualité des matériaux,intérêt personnel,36.8421052631579
244900015,Qualité des matériaux,évolution de la demande client,36.8421052631579
244900015,Qualité des matériaux,contrainte règlementaire,26.3157894736842
244900015,Qualité de l'eau,intérêt personnel,37.5
244900015,Qualité de l'eau,évolution de la demande client,50
244900015,Qualité de l'eau,contrainte règlementaire,12.5
244900015,Qualité de l'air,intérêt personnel,37.5
244900015,Qualité de l'air,évolution de la demande client,50
244900015,Qualité de l'air,contrainte règlementaire,12.5
244900015,Energies renouvelables,intérêt personnel,41.1764705882353
244900015,Energies renouvelables,évolution de la demande client,47.0588235294118
244900015,Energies renouvelables,contrainte règlementaire,11.7647058823529
244900015,Economies d'énergie,intérêt personnel,32.1428571428571
244900015,Economies d'énergie,évolution de la demande client,46.4285714285714
244900015,Economies d'énergie,contrainte règlementaire,21.4285714285714
244900015,Eco-construction,intérêt personnel,55.5555555555556
244900015,Eco-construction,évolution de la demande client,33.3333333333333
244900015,Eco-construction,contrainte règlementaire,11.1111111111111
244900015,Déchets,intérêt personnel,41.1764705882353
244900015,Déchets,évolution de la demande client,29.4117647058824
244900015,Déchets,contrainte règlementaire,29.4117647058824
