"Nom";"Pays";"Date_debut";"Date_fin";"Ville";"Nombre"
"16";"Etats-Unis";NA;"false";NA;1
"1349";"Norvège";"1997";"false";"Oslo";3
"3 Doors Down";"Etats-Unis";"1996";"false";"Escatawpa";1
"36 Crazyfists";"Etats-Unis";"1994-12";"false";NA;1
"69 Chambers";"Suisse";"2001";"false";"Zurich";1
"7 Weeks";"France";"2006-04";"false";"Limoges";1
"7th Nemesis";"France";"2000-12";"false";NA;1
"A Day to Remember";"Etats-Unis";"2003-06";"false";"Ocala";3
"Abbath";"Norvège";"2015";"false";NA;1
"Aborted";"Belgique";NA;NA;NA;3
"Absu";"Etats-Unis";NA;NA;NA;1
"Absurdity";"France";"2001";"false";NA;1
"Abysse";"France";NA;"false";NA;1
"Accept";"Allemagne";NA;NA;NA;1
"Ace Frehley";"Etats-Unis";"18745";"false";"The Bronx";1
"Acid King";"Etats-Unis";NA;"false";NA;1
"Adagio";"France";NA;NA;NA;1
"ADX";"France";"1982";"false";NA;1
"Aerosmith";"Etats-Unis";"1970";"false";"Boston";2
"After Forever";"Pays-Bas";"1995";"true";"Limburg";1
"Against Me!";"Etats-Unis";NA;NA;NA;1
"Agnostic Front";"Etats-Unis";"1981";"false";"New York";3
"Agoraphobic Nosebleed";"Etats-Unis";"1994";"false";"Springfield";1
"Agressor";"France";NA;NA;NA;1
"Ahab";"Etats-Unis";NA;"false";NA;1
"Airbourne";"Australie";"2004";"false";"Warrnambool";4
"Akercocke";"Angleterre";"1997";"false";"London";1
"Alcest";"France";"2001";"false";NA;2
"Alchemist";"Australie";"2008";"false";NA;1
"Alea Jacta Est";"France";"2006";"false";NA;1
"Alestorm";"Ecosse";NA;NA;NA;2
"Alice Cooper";"Etats-Unis";"1964";"true";"Phoenix";2
"Alice in Chains";"Etats-Unis";"1987";"false";"Seattle";1
"All for Nothing";"Pays-Bas";"2001";"false";"Rotterdam";1
"All Pigs Must Die";"Etats-Unis";"2010";"false";"Boston";1
"All Shall Perish";"Etats-Unis";"2002";"false";NA;2
"Allegiance";"Etats-Unis";NA;NA;NA;1
"Alpha Tiger";"Allemagne";NA;"false";NA;1
"Alter Bridge";"Etats-Unis";"2004";"false";"Orlando";3
"Amebix";"Angleterre";"1978";"true";NA;1
"Amenra";"Belgique";"2003";"false";"Kortrijk";1
"Amon Amarth";"Suède";"1992";"false";"Tumba";4
"Amorphis";"Finlande";"1990";"false";"Helsinki";1
"Anaal Nathrakh";"Angleterre";"1999";"false";NA;2
"Anathema";"Angleterre";NA;NA;NA;2
"Angel Witch";"Angleterre";"1977";"false";"London";1
"Angelus Apatrida";"Espagne";"2000-03";"false";NA;1
"Angra";"Brésil";"1991";"false";NA;1
"Angry Days";"France";NA;NA;NA;1
"Animals as Leaders";"Etats-Unis";"2007";"false";"Washington";1
"Animosity";"Etats-Unis";NA;NA;NA;1
"Annihilator";"Canada";NA;"false";NA;2
"Antharès";"France";"1984";"false";NA;1
"Anthrax";"Etats-Unis";NA;NA;NA;2
"Anti-Flag";"Etats-Unis";"1988";"false";"Pittsburgh";1
"Anvil";"Canada";"1978";"false";"Toronto";1
"Aosoth";"France";"2002";"true";"Paris";1
"Apocalyptica";"Finlande";"1993";"false";"Helsinki";3
"Arcania";"France";"1999";"false";NA;1
"Arch Enemy";"Suède";"1996";"false";"Halmstad";2
"Archgoat";"Finlande";"1989";"false";NA;1
"Architects";"Angleterre";NA;NA;NA;1
"Arcturus";"Norvège";NA;NA;NA;1
"Argile";"France";"1997";"false";NA;1
"Arkhon Infaustus";"France";"1997";"false";NA;1
"Arkona";"Russie";NA;NA;NA;2
"Arma Gathas";"Suisse";"2006";"false";NA;1
"Armored Saint";"Etats-Unis";"1982";"false";"Los Angeles";1
"Arson Anthem";"Etats-Unis";"2006";"false";NA;1
"Arthemis";"Italie";"1994";"false";NA;1
"As I Lay Dying";"Etats-Unis";NA;NA;NA;1
"As It Comes";"France";"2008";"true";NA;1
"As They Burn";"France";"39296";"true";"Paris";1
"Ascension";"Allemagne";NA;NA;NA;1
"ASG";"Etats-Unis";NA;"false";NA;1
"Asking Alexandria";"Angleterre";"2007";"false";"York";1
"Asphyx";"Pays-Bas";NA;NA;NA;2
"At the Gates";"Suède";"1990";"false";"Gothenburg";3
"Atari Teenage Riot";"Allemagne";"1992-01";"false";"Berlin";1
"Atheist";"Etats-Unis";"1987";"false";NA;2
"Atreyu";"Etats-Unis";"1998";"false";"Orange County";1
"Attentat Rock";"France";"1980";"false";"Avignon";1
"Audrey Horne";"Norvège";NA;"false";NA;3
"August Burns Red";"Etats-Unis";"2003-03";"false";NA;3
"Aura Noir";"Norvège";"1993";"false";NA;3
"Autopsy";"Etats-Unis";NA;"false";NA;1
"Ava Inferi";"Portugal";"2005";"true";NA;1
"Avantasia";"Allemagne";"2000";"false";NA;1
"Avatar";"Suède";NA;"false";NA;1
"Avenged Sevenfold";"Etats-Unis";"1999";"false";"Huntington Beach";1
"Avulsed";"Espagne";"1991-08";"false";NA;1
"Awekening Sun";"Lithuanie";NA;NA;NA;1
"Ays";"Allemagne";NA;"false";NA;1
"Azziard";"France";"2001";"false";NA;1
"Backfire";"Pays-Bas";NA;"false";NA;1
"Backtrack";"Etats-Unis";"2007";"false";NA;1
"Backyard Babies";"Suède";"1987";"false";"Nässjö";2
"Bad Brains";"Etats-Unis";NA;NA;NA;1
"Bad Religion";"Etats-Unis";"1980";"false";"Los Angeles";2
"Bain de Sang";"France";NA;NA;NA;1
"Bane";"Etats-Unis";"2006";"false";NA;1
"Baroness";"Etats-Unis";"2003";"false";"Savannah";2
"Behemoth";"Pologne";"1991";"false";"Gda?sk";5
"Behexen";"Finlande";"1994";"false";NA;1
"Belenos";"France";"1995";"false";NA;1
"Belphegor";"Autriche";"1993";"false";"Salzburg";4
"Benediction";"Angleterre";"1988";"false";NA;1
"Benighted";"France";NA;NA;NA;3
"Berri Txarrak";"Espagne";"1994";"false";"Lekunberri";1
"Betrayed";NA;NA;"false";NA;1
"Betraying the Martyrs";"France";NA;NA;NA;2
"Between the Buried and Me";"Etats-Unis";"2000";"false";"Raleigh";3
"Beyond Creation";"Canada";"2005";"false";"Montreal";1
"Big Business";"Etats-Unis";"2004";"false";"Seattle";1
"Billy Idol";"Angleterre";"20423";"false";"Stanmore";1
"Biohazard";"Etats-Unis";NA;"false";NA;3
"Birds in Raw";"France";NA;"false";NA;1
"Bison B.C.";"Canada";"2003";"false";"Vancouver";1
"Black Bomb A";"France";"1995";"false";NA;1
"Black Breath";"Etats-Unis";"2006";"false";"Bellingham";1
"Black Cobra";"Etats-Unis";"2002";"false";"San Francisco";2
"Black Label Society";"Etats-Unis";"1998";"false";NA;3
"Black Pyramid";"Etats-Unis";"2007";"false";NA;1
"Black Sabbath";"Angleterre";"1969";"true";"Birmingham";2
"Black Spiders";"Angleterre";"2008";"false";NA;1
"Black Star Riders";"Etats-Unis";"2012-12";"false";"United States";1
"Black Stone Cherry";"Etats-Unis";"37046";"false";"Edmonton";1
"Black Tide";"Etats-Unis";"2004";"false";NA;1
"Black Tusk";"Etats-Unis";"2005";"false";"Savannah";1
"Blasphème";"France";"1981";"false";NA;1
"BL'AST!";"Etats-Unis";NA;NA;NA;1
"Blazing War Machine";"France";"2005";"false";NA;1
"Bleed";"France";NA;NA;NA;1
"Bleeding Through";"Etats-Unis";"1999";"true";"Woodlake";1
"Blind Guardian";"Allemagne";"1988";"false";"Krefeld";2
"Blobfish Killer";"France";NA;NA;NA;1
"Blockheads";"Angleterre";"1992";"false";NA;2
"Blood Ceremony";"Canada";"2006";"false";"Toronto";1
"Blood Red Throne";"Norvège";"1999";"false";NA;1
"Bloodbath";"Suède";NA;NA;NA;2
"Bloodsimple";"Etats-Unis";"2002";"true";NA;1
"Blue Öyster Cult";"Etats-Unis";"1987";"false";NA;2
"Blues Pills";"Suède";"2011-12";"false";"Ames";1
"Body Count ft. Ice-T";"Etats-Unis";NA;"false";NA;1
"Bolt Thrower";"Angleterre";"1986";"true";"Coventry";1
"Bölzer";"Suisse";"2008";"false";"Zurich";1
"Bongripper";"Etats-Unis";"2005";"false";"Chicago";1
"Booze & Glory";"Angleterre";NA;NA;NA;1
"Borgne";"Suisse";"1998";"false";NA;1
"Born From Pain";"Pays-Bas";"1997";"false";NA;2
"Born to Burn";"France";NA;NA;NA;1
"Bouncil Souls";NA;NA;NA;NA;1
"Boysetsfire";"Etats-Unis";"1994-10";"false";"Newark";1
"Brain Police";"Islande";"1998";"false";NA;1
"Brant Bjork and the Bros";"Etats-Unis";NA;"false";NA;2
"Breakdust";"France";"2003";"false";NA;2
"Bright Curse";"Angleterre";"41065";"false";"London";1
"Bring Me the Horizon";"Angleterre";"2004-03";"false";"Sheffield";1
"Brodequin";"Etats-Unis";"1998";"false";NA;1
"Broken Teeth";"Angleterre";NA;"false";NA;1
"Brujeria";"Mexique";"1989";"false";"Tijuana";2
"Brutal Truth";"Etats-Unis";"1990";"true";"Rochester";4
"Brutality Will Prevail";"Pays de Galles";NA;"false";NA;1
"Buckcherry";"Etats-Unis";"1995";"false";"Anaheim";2
"Bukowski";"France";"2007";"false";NA;1
"Bullet for My Valentine";"Pays de Galles";"2003";"false";"Bridgend";2
"Bunkum";"France";NA;"false";NA;1
"Burning Heads";"France";"1988";"false";"Orléans";1
"Bury Tomorrow";"Angleterre";"2006";"false";"Southampton";1
"Bury Your Dead";"Etats-Unis";"2001";"false";"Boston";1
"Butcher Babies";"Etats-Unis";"2010";"false";"Los Angeles";1
"Buzzcocks";"Angleterre";"1976";"false";"Bolton";1
"Caliban";"Allemagne";NA;"false";NA;1
"Cancer Bats";"Canada";"2004-05";"false";"Toronto";1
"Candiria";"Etats-Unis";NA;NA;NA;1
"Candlemass";"Suède";"1984";"false";"Stockholm";3
"Cannibal Corpse";"Etats-Unis";NA;"false";NA;3
"Capricorns";"Angleterre";"2003";"true";NA;1
"Captain Cleanoff";"Australie";"1997";"false";NA;1
"Carach Angren";"Pays-Bas";"2003";"false";NA;1
"Carcariass";"France";"1991";"false";NA;1
"Carcass";"Angleterre";"1985";"false";"Liverpool";3
"Carnal Lust";"France";"1998";"false";NA;1
"Carnifex";"Etats-Unis";"2006";"false";NA;1
"Carnival in Coal";"France";"1995";"true";NA;1
"Carpathian Forest";"Norvège";"1990";"false";NA;1
"Caspian";"Etats-Unis";NA;"false";NA;1
"Cathedral";"Angleterre";NA;NA;NA;1
"Cattle Decapitation";"Etats-Unis";"1996";"false";"San Diego";1
"Cavalera Conspiracy";"Brésil";"2007";"false";NA;3
"Celeste";"France";NA;"false";NA;1
"Celtic Frost";"Suisse";"1984-06";"true";"Zurich";1
"Cephalic Carnage";"Etats-Unis";"1992";"false";"Denver";1
"Ceremonial Oath";"Suède";"1989";"false";"Mölndal";1
"Channel Zero";"Belgique";"1990";"false";"Brussels";1
"Chelsea Wolfe";"Etats-Unis";"2007";NA;NA;1
"Chelsea Wolfe";"Etats-Unis";"30634";"false";"Sacramento";1
"Chiens";"France";"2009";"false";NA;1
"Children of Bodom";"Finlande";"1997";"false";"Espoo";3
"Chimaira";"Etats-Unis";"1998";"true";"Cleveland";1
"Chronicles";"France";NA;NA;NA;1
"Church of Misery";"Japon";"1995";"false";"Shinjuku";1
"Clutch";"Etats-Unis";NA;NA;NA;4
"Coal Chamber";"Etats-Unis";"1993";"false";"Los Angeles";1
"Coalesce";"Etats-Unis";"1994";"true";"Kansas City";1
"Cobra";"Japon";"2005";"false";NA;1
"Cock and Ball Torture";"Allemagne";"1997";"false";NA;1
"Cock Sparrer";"Angleterre";"1974";"false";"London";1
"Cockney Rejects";"Angleterre";"1979";"false";"London";1
"Code Orange";"Etats-Unis";"2009";"false";"Pittsburgh";1
"Coffins";"Japon";"1996";"false";NA;1
"Coldworker";"Suède";"2006";"false";NA;1
"Colossus";"France";"2008";"false";"Stockholm";1
"Colour Haze";"Allemagne";"1994";"false";"Munich";1
"Comeback Kid";"Canada";"2000";"false";"Winnipeg";4
"Conan";"Angleterre";NA;"false";NA;1
"Condkoï";"France";NA;"false";NA;1
"Converge";"Etats-Unis";NA;NA;NA;4
"Coroner";"Suisse";"1983";"false";"Zurich";2
"Corrosion of Conformity";"Etats-Unis";"1982";"false";"Raleigh";1
"Corrosive Elements";"France";"2005";"false";"Paris";1
"Cortez";"Suisse";NA;"false";NA;1
"Corvus Corax";"Allemagne";"1989-12";"false";NA;1
"Coupe Gorge";"France";NA;NA;NA;1
"Cover Kill";"Suisse";NA;NA;NA;1
"Cowards";"France";"2012";"false";NA;1
"Cradle of Filth";"Angleterre";"1991";"false";"Ipswich";4
"Craft";"Suède";NA;"false";NA;1
"Cranks";"France";NA;NA;NA;1
"Crashdïet";"Suède";"2000";"false";NA;1
"Crimson Daze";"France";NA;NA;NA;1
"Crippled Black Phoenix";"Angleterre";"2004";"false";"Bristol";1
"Crobot";"Etats-Unis";"2011";"false";"Pottsville";1
"Cro-Mags";"Etats-Unis";"1982";"false";"New York";1
"Crossfaith";"Japon";"2006";"false";"Osaka";1
"Crowbar";"Etats-Unis";NA;NA;NA;2
"Cruachan";"Irlande";"1992";"false";"Dublin";1
"Crucified Barbara";"Suède";"1998";"true";"Stockholm";1
"Crusher";"France";NA;NA;NA;1
"Crushing Caspars";"Allemagne";NA;"false";NA;1
"Crypt Sermon";"Etats-Unis";NA;"false";NA;1
"Cryptopsy";"Canada";"1992";"false";"Montreal";2
"Cult of Luna";"Suède";"1998";"false";"Umeå";2
"Cynic";"Etats-Unis";NA;"false";NA;1
"D.R.I.";"Etats-Unis";NA;NA;NA;1
"D.Usk";NA;NA;NA;NA;1
"D-A-D";"Danemark";NA;"false";NA;1
"Dagoba";"France";"1997";"false";"Marseille";3
"Damnation A.D.";"Etats-Unis";"1992";"false";"Washington";1
"Dance Laury Dance";NA;NA;NA;NA;1
"Dancefloor Disaster";"France";NA;"false";NA;1
"Danforth";"France";"2003";"false";NA;1
"Danko Jones";"Canada";NA;"false";NA;2
"Danzig";"Etats-Unis";"1987";"false";"Lodi";1
"Dark Angel";"Etats-Unis";NA;"false";NA;1
"Dark Fortress";"Allemagne";"1994";"false";NA;1
"Dark Funeral";"Suède";"1993";"false";NA;3
"Dark Tranquility";"Suède";NA;"false";NA;3
"Darkest Hour";"Etats-Unis";"1995";"false";"Washington";1
"Darkness Dynamite";"France";"2006";"false";"Paris";1
"Darkspace";"Suisse";"1999";"false";NA;1
"Dead Congregation";"Grèce";"2004";"false";"Athens";1
"Dead Kennedys";"Etats-Unis";"1978-06";"false";"San Francisco";1
"Dead to Fall";"Etats-Unis";"1999";"true";"Chicago";1
"Deadly Whispers";"France";NA;NA;NA;1
"Deafheaven";"Etats-Unis";"2010";"false";"San Francisco";1
"Death Alley";"Pays-Bas";"2013";"false";"Amsterdam";1
"Death Angel";"Etats-Unis";"1982";"false";"San Francisco";3
"Death Before Dishonor";"Etats-Unis";NA;NA;NA;1
"Death Engine";"France";NA;"false";NA;1
"Death to All";"Etats-Unis";NA;"false";NA;1
"Deathcode Society";"France";NA;"false";NA;1
"Decapitated";"Pologne";"1996";"false";"Krosno";2
"Dee Snider";"Etats-Unis";"20163";"false";"Astoria";1
"Deep in Hate";"France";"2003";"false";NA;1
"Deep Purple";"Angleterre";"1968";"false";"Hertford";2
"Deez Nuts";"Australie";"2007";"false";"Melbourne";3
"Def Leppard";"Angleterre";"1977";"false";"Sheffield";1
"dEFDUMp";"Luxembourg";NA;"false";NA;1
"Defeater";"Etats-Unis";"2004";"false";"Boston";1
"Deftones";"Etats-Unis";"1988";"false";"Sacramento";1
"Deicide";"Etats-Unis";"1987";"false";"Tampa";1
"Delain";"Pays-Bas";"2002";"false";"Zwolle";2
"Déluge";"France";NA;NA;NA;1
"Demented Are Go!";"Pays de Galles";NA;NA;NA;1
"Der Weg einer Freiheit";"Allemagne";"2009-02";"false";"Würzburg";1
"Despise You";"Etats-Unis";NA;"false";NA;1
"Despised Icon";"Canada";"2002";"false";"Montreal";1
"Destinity";"France";"1996-07";"false";NA;1
"Deströyer 666";"Australie";"1994-05";"false";NA;2
"Destruction";"Allemagne";"1983";"false";"Weil am Rhein";2
"Desultory";"Suède";NA;"false";NA;1
"DevilDriver";"Etats-Unis";"2003";"false";"Santa Barbara";2
"DevilDriver";"Etats-Unis";"2003";"false";"Santa Barbara";1
"Devil's Blood";"Pays-Bas";"2007";"true";NA;2
"Devin Townsend Project";"Canada";NA;"false";NA;2
"Dew-Scented";"Allemagne";"1992";"false";NA;2
"Dillinger Escape Plan";"Etats-Unis";"1997-03";"true";"Morris Plains";2
"Dimmu Borgir";"Norvège";"1993";"false";"Oslo";2
"Dirty Fonzy";"France";"2003";"false";NA;1
"Dirty Rotten Imbeciles";"Etats-Unis";"2011";"false";"Norwich";1
"Discharge";"Angleterre";"1978";"true";NA;3
"Discipline";"Pays-Bas";NA;NA;NA;1
"Disfear";"Suède";"1989";"false";NA;1
"Disturbed";"Etats-Unis";NA;NA;NA;1
"DJ Kemical Kem";"France";NA;NA;NA;1
"DJ Kurgan";"France";NA;NA;NA;1
"DJ McFly";"France";NA;NA;NA;1
"DJ Mike Rock";"France";NA;"false";NA;6
"DJ Pam Lee";NA;NA;NA;NA;1
"DJ Psychoterror";"France";NA;NA;NA;1
"DJ Spideric";"France";NA;"false";NA;2
"DJ Twisted Sisters";"Etats-Unis";NA;NA;NA;1
"DJ X-Gore";"France";NA;"false";NA;2
"Djerv";"Norvège";"2010";"false";"Oslo";1
"Do or Die";"Belgique";NA;NA;NA;1
"Doctor Livingstone";"France";"1998";"false";"Montpellier";1
"Dødheimsgard";"Norvège";"1994";"false";NA;2
"Dog Eat Dog";"Etats-Unis";NA;"false";NA;1
"Doom";"Angleterre";NA;NA;NA;1
"Doomriders";"Etats-Unis";"2004";"false";NA;1
"Dordeduh";"Roumanie";"2009";"false";"Timi?oara";1
"Dornfall";"France";NA;"false";NA;1
"Doro";"Allemagne";NA;"false";NA;1
"Down";"Etats-Unis";"1991";"false";"New Orleans";3
"Downfall of Gaia";"Allemagne";"2008";"false";"Hanover";1
"Doyle Airence";"France";NA;"false";NA;1
"Dozer";"Suède";NA;NA;NA;1
"Dr. Living Dead!";"Suède";NA;NA;NA;1
"DragonForce";"Angleterre";"1999-09";"false";"London";2
"Dream Theater";"Etats-Unis";"1986-09";"false";"Boston";2
"Dropkick Murphys";"Etats-Unis";"1996";"false";"Quincy";2
"Drowned";"Allemagne";NA;"false";NA;1
"Drowning";"France";"1996";"false";"Paris";1
"Duff McKagan's Loaded";"Etats-Unis";"1999";"false";"Seattle";1
"Dust Bolt";"Allemagne";"2006";"false";NA;1
"Dwarves";"Etats-Unis";"1983";"false";"Chicago";1
"Dying Fetus";"Etats-Unis";"1991";"false";"Upper Marlboro";3
"Dylath-Leen";"France";"1999";"false";"Cambrai";1
"Dÿse";"Allemagne";"37778";"false";NA;1
"Eagle Twin";"Etats-Unis";"2007";"false";NA;1
"Earth";"Etats-Unis";NA;NA;NA;1
"Earth Crisis";"Etats-Unis";"1992";"true";"Syracuse";1
"Edguy";"Allemagne";"1992";"false";"Fulda";2
"Elder";"Etats-Unis";"1995";"true";"Virginia Beach";1
"Electric Mary";"Australie";"2003";"false";"Melbourne";1
"Electric Wizard";"Angleterre";"1993";"false";"Dorset";4
"Ellips3";"France";NA;NA;NA;1
"Ellispsis";"France";NA;NA;NA;1
"Eluveitie";"Suisse";"2002";"false";"Winterthur";3
"Emmure";"Etats-Unis";"2003";"false";NA;1
"Emperor";"Norvège";NA;NA;NA;3
"Emptiness";"Belgique";NA;NA;NA;1
"Empyrium";"Allemagne";"1994";"false";NA;1
"Endstand";"Finlande";"1996";"true";"Riihimäki";1
"Endstille";"Allemagne";"2000";"false";NA;1
"Enlighted";"France";NA;NA;NA;1
"Ensiferum";"Finlande";"1995";"false";NA;2
"Enslaved";"Norvège";NA;NA;NA;5
"Enthroned";"Belgique";"1993";"false";"Brussels";1
"Entombed";"Suède";"1989";"false";"Stockholm";2
"Entombed A.D.";"Suède";"2014";"false";NA;1
"Entrails";"Suède";"1990";"false";NA;1
"Envy";"Japon";NA;NA;NA;2
"Ephel Duath";"Italie";"1998-02";"true";"Padua";1
"Epica";"Pays-Bas";NA;"false";NA;3
"Equilibrium";"Allemagne";NA;"false";NA;3
